writeFailed "错误：游戏文件夹是只读的"
measuringFPS "检测最大帧率"
vsyncWarning "警告：垂直同步已禁用"
vsyncWarning2 "（可能会出现画面撕裂）"
vsyncWarning3 "显卡控制面板可以解决此问题"
vsyncContinueMessage "按Y继续而不使用VSYNC或按ESC退出"
fpsErrorLogin "错误：检测到FPS不匹配 ##VSYNC 已更改？测量 %0.1f FPS，预期 %d FPS"
loading "加载中"
sprites "图元"
sounds "音效"
objects "物品"
transitions "转换"
animations "动画"
categories "类别"
groundTextures "地面纹理"
spritesRebuild "图元##（重建缓存）"
soundsRebuild "声音##（重建缓存）"
objectsRebuild "物品##（重建缓存）"
transitionsRebuild "合成表##（重建缓存）"
animationsRebuild "动画##（重建缓存）"
categoriesRebuild "类别##（重建缓存）"
email "电子邮件："
username "用户名："
atSignTip "插入'@'符号"
loginButton "出生"
friendsButton "朋友"
familyTrees "家谱"
techTree "科技树"
genesButton "基因"
geneticHistoryButton "遗传史"
clearAccount "清除账户"
settingsButton "设置"
postReviewButton "发布评论"
updateReviewButton "更新评论"
reviewText "评论文字"
reviewName "显示名称"
recommend "推荐"
recommendYes "是"
recommendNo "否"
postButton "发布"
postReviewTip "发布到 ONEHOURONELIFE.COM"
updateButton "更新"
updateReviewTip "在 ONEHOURONELIFE.COM 更新"
removeButton "删除"
removeReviewTip "从 ONEHOURONELIFE.COM 中删除"
copyReviewTip "将评论文字复制到剪切板"
copySelectionTip "将选择复制到剪切板"
spellCheck "检查拼写（英文）"
requestDenied "发布请求被拒绝"
reviewPosted "评论已发布"
reviewUpdated "评论已更新"
reviewRemoved "评论已删除"
poll "用户投票："
submit "提交"
saveTip "登录并在本地存储信息"
getAccountTip "在DISCORD上输入命令获得账户"
clearAccountTip "从本地中删除帐户信息"
friendsTip "与朋友出生在一起"
genesTip "遗传分数信息"
familyTreesTip "在浏览器内打开家谱"
techTreeTip "在浏览器内打开教程"
accountKey "密钥："
paste "粘贴"
copy "复制"
clear "清除"
charLimit "已达到5000个字符的限制"
twinCode "双胞胎代码："
generate "生成"
twinTip "将此代码交给朋友并一起出生"
twins "双胞胎"
triplets "三胞胎"
quadruplets "四胞胎"
cancel "取消"
backButton "后退"
restartButton "重新开始"
fullscreen "全屏"
borderless "没有边界"
musicLoudness "音乐响度"
soundLoudness "声音响度"
currentFPS "当前帧率"
targetFPS "目标帧率"
vsyncOn "使用VSYNC"
vsyncYes "是"
vsyncNo "否"
retryButton "重试"
redetectButton "重新检查"
cursor "鼠标："
system "本地"
drawn "绘制"
both "两者"
scale "绘制的光标大小"
useCustomServer "使用自定义服务器"
address "地址"
port "端口"
spawnSeed "出生种子"
downloadingUpdate "下载更新"
applyingUpdate "使用更新"
serverShutdownMessage "服务器已被##关闭以进行维护。##请稍后再试。"
upgradeMessage "请下载最新版本"
upgradeMessageSteam "请通过steam更新游戏"
steamID "Steam ID："
editAccount "编辑账户"
editAccountWarning "除非你知道自己在做什么，否则不要编辑帐户"
view "查看"
hide "隐藏"
updateWritePermissionMessage "无法使用更新：##将游戏文件夹移动到某处##非只读位置。"
manualRestartMessage "重新启动游戏以使用更新"
loginFailed "登录失败"
versionMismatch "版本不匹配：客户端 %d -- 服务器 %d"
disableCustomServer "禁用自定义服务器"
serverShutdown "服务器已关闭"
serverUpdate "服务器正在更新中"
serverFull "服务器人数已满"
connectionFailed "连接失败"
noLifeTokens "你失去了生命"
